,g12_state,g3_state,tw_state,d_state,demand_met,probability
0,0,0,0,0,True,0.4028486136088777
1,0,0,0,1,True,0.13428287120295923
2,0,0,0,2,True,0.13428287120295923
3,0,0,0,3,True,0.13428287120295926
4,0,0,1,0,True,0.004517458485161287
5,0,0,1,1,True,0.0015058194950537623
6,0,0,1,2,False,0.0015058194950537623
7,0,0,1,3,True,0.0015058194950537626
8,0,0,2,0,True,0.004517458485161287
9,0,0,2,1,True,0.0015058194950537623
10,0,0,2,2,False,0.0015058194950537623
11,0,0,2,3,True,0.0015058194950537626
12,0,0,3,0,True,7.737280528733111e-05
13,0,0,3,1,False,2.5790935095777037e-05
14,0,0,3,2,False,2.5790935095777037e-05
15,0,0,3,3,False,2.579093509577704e-05
16,0,0,4,0,True,0.03609248279850039
17,0,0,4,1,True,0.012030827599500131
18,0,0,4,2,True,0.012030827599500131
19,0,0,4,3,True,0.012030827599500133
20,0,0,5,0,True,0.002457641438070508
21,0,0,5,1,True,0.0008192138126901692
22,0,0,5,2,False,0.0008192138126901692
23,0,0,5,3,True,0.0008192138126901693
24,0,0,6,0,True,0.002457641438070508
25,0,0,6,1,True,0.0008192138126901692
26,0,0,6,2,False,0.0008192138126901692
27,0,0,6,3,True,0.0008192138126901693
28,0,0,7,0,True,0.00018832466380733893
29,0,0,7,1,False,6.277488793577964e-05
30,0,0,7,2,False,6.277488793577964e-05
31,0,0,7,3,False,6.277488793577965e-05
32,0,1,0,0,True,0.013428287120295925
33,0,1,0,1,True,0.004476095706765308
34,0,1,0,2,False,0.004476095706765308
35,0,1,0,3,True,0.004476095706765309
36,0,1,1,0,True,0.00015058194950537626
37,0,1,1,1,False,5.0193983168458754e-05
38,0,1,1,2,False,5.0193983168458754e-05
39,0,1,1,3,False,5.019398316845876e-05
40,0,1,2,0,True,0.00015058194950537626
41,0,1,2,1,False,5.0193983168458754e-05
42,0,1,2,2,False,5.0193983168458754e-05
43,0,1,2,3,False,5.019398316845876e-05
44,0,1,3,0,False,2.579093509577704e-06
45,0,1,3,1,False,8.596978365259014e-07
46,0,1,3,2,False,8.596978365259014e-07
47,0,1,3,3,False,8.596978365259015e-07
48,0,1,4,0,True,0.0012030827599500131
49,0,1,4,1,True,0.0004010275866500044
50,0,1,4,2,False,0.0004010275866500044
51,0,1,4,3,True,0.00040102758665000443
52,0,1,5,0,True,8.192138126901693e-05
53,0,1,5,1,False,2.730712708967231e-05
54,0,1,5,2,False,2.730712708967231e-05
55,0,1,5,3,False,2.7307127089672314e-05
56,0,1,6,0,True,8.192138126901693e-05
57,0,1,6,1,False,2.730712708967231e-05
58,0,1,6,2,False,2.730712708967231e-05
59,0,1,6,3,False,2.7307127089672314e-05
60,0,1,7,0,False,6.277488793577964e-06
61,0,1,7,1,False,2.092496264525988e-06
62,0,1,7,2,False,2.092496264525988e-06
63,0,1,7,3,False,2.0924962645259883e-06
64,1,0,0,0,True,0.013428287120295927
65,1,0,0,1,True,0.004476095706765309
66,1,0,0,2,False,0.004476095706765309
67,1,0,0,3,True,0.00447609570676531
68,1,0,1,0,True,0.0001505819495053763
69,1,0,1,1,True,5.019398316845876e-05
70,1,0,1,2,False,5.019398316845876e-05
71,1,0,1,3,True,5.019398316845877e-05
72,1,0,2,0,True,0.0001505819495053763
73,1,0,2,1,True,5.019398316845876e-05
74,1,0,2,2,False,5.019398316845876e-05
75,1,0,2,3,True,5.019398316845877e-05
76,1,0,3,0,True,2.579093509577704e-06
77,1,0,3,1,False,8.596978365259014e-07
78,1,0,3,2,False,8.596978365259014e-07
79,1,0,3,3,False,8.596978365259015e-07
80,1,0,4,0,True,0.0012030827599500134
81,1,0,4,1,True,0.00040102758665000443
82,1,0,4,2,False,0.00040102758665000443
83,1,0,4,3,True,0.0004010275866500045
84,1,0,5,0,True,8.192138126901695e-05
85,1,0,5,1,True,2.7307127089672314e-05
